NGAY;BO_SO;SO1;SO2;SO3;SO4;SO5;SO6
20/01/2021;07 20 29 30 40 45;7;20;29;30;40;45
17/01/2021;04 05 32 39 40 42;4;5;32;39;40;42
15/01/2021;04 06 10 13 26 43;4;6;10;13;26;43
13/01/2021;19 20 21 28 33 41;19;20;21;28;33;41
10/01/2021;10 11 22 32 38 43;10;11;22;32;38;43
08/01/2021;08 19 22 25 32 35;8;19;22;25;32;35
06/01/2021;22 27 30 35 40 45;22;27;30;35;40;45
03/01/2021;04 31 34 36 40 43;4;31;34;36;40;43
01/01/2021;10 16 24 26 30 32;10;16;24;26;30;32
30/12/2020;01 13 20 26 35 37;1;13;20;26;35;37
27/12/2020;03 11 17 19 34 39;3;11;17;19;34;39
25/12/2020;06 12 15 22 33 39;6;12;15;22;33;39
23/12/2020;07 11 17 31 35 40;7;11;17;31;35;40
20/12/2020;15 18 28 30 34 44;15;18;28;30;34;44
18/12/2020;04 09 14 23 32 38;4;9;14;23;32;38
16/12/2020;10 11 22 27 36 41;10;11;22;27;36;41
13/12/2020;10 12 20 36 41 44;10;12;20;36;41;44
11/12/2020;23 24 25 35 37 39;23;24;25;35;37;39
09/12/2020;16 24 27 31 36 43;16;24;27;31;36;43
06/12/2020;11 21 24 27 29 37;11;21;24;27;29;37
04/12/2020;03 05 33 37 41 43;3;5;33;37;41;43
02/12/2020;04 05 07 10 25 39;4;5;7;10;25;39
29/11/2020;06 07 14 18 37 43;6;7;14;18;37;43
27/11/2020;01 09 12 13 37 43;1;9;12;13;37;43
25/11/2020;01 05 07 08 25 40;1;5;7;8;25;40
22/11/2020;09 16 17 24 32 40;9;16;17;24;32;40
20/11/2020;02 17 24 29 31 37;2;17;24;29;31;37
18/11/2020;18 19 21 31 39 44;18;19;21;31;39;44
15/11/2020;14 16 21 29 40 41;14;16;21;29;40;41
13/11/2020;08 22 23 33 34 36;8;22;23;33;34;36
11/11/2020;04 10 12 17 20 35;4;10;12;17;20;35
08/11/2020;03 12 14 16 23 33;3;12;14;16;23;33
06/11/2020;19 24 30 32 36 37;19;24;30;32;36;37
04/11/2020;03 08 11 13 26 38;3;8;11;13;26;38
01/11/2020;06 21 27 30 32 44;6;21;27;30;32;44
30/10/2020;04 05 14 18 23 43;4;5;14;18;23;43
28/10/2020;01 04 07 15 35 45;1;4;7;15;35;45
25/10/2020;11 19 30 38 41 45;11;19;30;38;41;45
23/10/2020;05 10 16 23 34 45;5;10;16;23;34;45
21/10/2020;04 11 26 36 38 41;4;11;26;36;38;41
18/10/2020;01 14 25 26 30 40;1;14;25;26;30;40
16/10/2020;04 14 16 23 24 27;4;14;16;23;24;27
14/10/2020;04 07 23 32 43 44;4;7;23;32;43;44
11/10/2020;12 18 28 31 40 45;12;18;28;31;40;45
09/10/2020;15 19 23 30 33 39;15;19;23;30;33;39
07/10/2020;13 15 25 26 28 34;13;15;25;26;28;34
04/10/2020;09 16 19 25 26 39;9;16;19;25;26;39
02/10/2020;09 11 21 31 32 37;9;11;21;31;32;37
30/09/2020;02 05 31 32 42 44;2;5;31;32;42;44
27/09/2020;01 12 26 31 37 38;1;12;26;31;37;38
25/09/2020;14 20 22 35 44 45;14;20;22;35;44;45
23/09/2020;02 08 17 23 30 41;2;8;17;23;30;41
20/09/2020;05 07 09 13 15 16;5;7;9;13;15;16
18/09/2020;10 19 21 23 27 33;10;19;21;23;27;33
16/09/2020;05 20 29 30 38 40;5;20;29;30;38;40
13/09/2020;20 23 28 37 40 44;20;23;28;37;40;44
11/09/2020;04 11 13 16 17 33;4;11;13;16;17;33
09/09/2020;19 21 34 35 36 39;19;21;34;35;36;39
06/09/2020;01 06 19 29 31 44;1;6;19;29;31;44
04/09/2020;07 16 20 30 40 41;7;16;20;30;40;41
02/09/2020;08 10 14 16 18 24;8;10;14;16;18;24
30/08/2020;06 08 18 19 29 33;6;8;18;19;29;33
28/08/2020;10 11 14 23 27 37;10;11;14;23;27;37
26/08/2020;02 18 24 28 35 42;2;18;24;28;35;42
23/08/2020;10 14 19 25 36 39;10;14;19;25;36;39
21/08/2020;07 08 26 30 37 43;7;8;26;30;37;43
19/08/2020;07 20 36 37 43 45;7;20;36;37;43;45
16/08/2020;02 05 06 20 33 39;2;5;6;20;33;39
14/08/2020;09 18 21 24 34 41;9;18;21;24;34;41
12/08/2020;07 21 34 38 43 44;7;21;34;38;43;44
09/08/2020;11 13 14 43 44 45;11;13;14;43;44;45
07/08/2020;17 26 35 40 43 44;17;26;35;40;43;44
05/08/2020;14 18 19 32 33 38;14;18;19;32;33;38
02/08/2020;06 09 12 17 41 42;6;9;12;17;41;42
31/07/2020;04 09 19 29 36 41;4;9;19;29;36;41
29/07/2020;06 14 26 41 42 43;6;14;26;41;42;43
26/07/2020;05 15 21 39 43 45;5;15;21;39;43;45
24/07/2020;04 25 31 35 39 41;4;25;31;35;39;41
22/07/2020;09 13 18 24 26 42;9;13;18;24;26;42
19/07/2020;01 13 14 19 42 45;1;13;14;19;42;45
17/07/2020;04 10 18 20 32 45;4;10;18;20;32;45
15/07/2020;10 11 18 19 20 45;10;11;18;19;20;45
12/07/2020;02 15 21 27 31 35;2;15;21;27;31;35
10/07/2020;18 20 22 33 35 39;18;20;22;33;35;39
08/07/2020;14 15 17 21 31 38;14;15;17;21;31;38
05/07/2020;05 08 10 17 22 31;5;8;10;17;22;31
03/07/2020;04 05 17 18 22 36;4;5;17;18;22;36
01/07/2020;10 13 14 26 32 33;10;13;14;26;32;33
28/06/2020;04 15 24 36 37 41;4;15;24;36;37;41
26/06/2020;09 23 27 30 38 41;9;23;27;30;38;41
24/06/2020;07 17 18 32 39 40;7;17;18;32;39;40
21/06/2020;07 09 13 33 40 44;7;9;13;33;40;44
19/06/2020;04 12 17 19 32 45;4;12;17;19;32;45
17/06/2020;07 16 28 33 34 45;7;16;28;33;34;45
14/06/2020;19 22 24 41 44 45;19;22;24;41;44;45
12/06/2020;05 16 22 27 30 31;5;16;22;27;30;31
10/06/2020;02 11 23 25 26 35;2;11;23;25;26;35
07/06/2020;06 07 11 16 23 44;6;7;11;16;23;44
05/06/2020;10 13 22 28 38 43;10;13;22;28;38;43
03/06/2020;01 15 17 19 40 43;1;15;17;19;40;43
31/05/2020;01 06 13 27 35 40;1;6;13;27;35;40
29/05/2020;04 10 23 26 35 37;4;10;23;26;35;37
27/05/2020;06 15 29 30 37 42;6;15;29;30;37;42
24/05/2020;01 29 30 32 34 35;1;29;30;32;34;35
22/05/2020;03 08 19 28 35 41;3;8;19;28;35;41
20/05/2020;01 08 15 23 25 39;1;8;15;23;25;39
17/05/2020;02 04 21 30 33 37;2;4;21;30;33;37
15/05/2020;03 12 13 28 33 36;3;12;13;28;33;36
13/05/2020;06 20 21 35 40 45;6;20;21;35;40;45
10/05/2020;07 09 23 32 33 37;7;9;23;32;33;37
08/05/2020;01 03 07 12 22 25;1;3;7;12;22;25
06/05/2020;03 18 25 29 30 44;3;18;25;29;30;44
03/05/2020;05 18 29 32 38 44;5;18;29;32;38;44
01/05/2020;06 07 16 37 40 44;6;7;16;37;40;44
29/04/2020;01 08 11 13 15 32;1;8;11;13;15;32
26/04/2020;05 25 30 36 37 41;5;25;30;36;37;41
24/04/2020;10 31 37 39 40 43;10;31;37;39;40;43
29/03/2020;07 10 23 36 39 44;7;10;23;36;39;44
27/03/2020;01 06 10 35 36 45;1;6;10;35;36;45
25/03/2020;26 31 33 37 38 45;26;31;33;37;38;45
22/03/2020;02 10 19 22 24 29;2;10;19;22;24;29
20/03/2020;08 23 29 37 39 44;8;23;29;37;39;44
18/03/2020;06 21 30 37 38 45;6;21;30;37;38;45
15/03/2020;04 07 11 17 19 31;4;7;11;17;19;31
13/03/2020;08 13 20 28 35 45;8;13;20;28;35;45
11/03/2020;12 16 29 35 37 44;12;16;29;35;37;44
08/03/2020;03 13 17 19 21 43;3;13;17;19;21;43
06/03/2020;06 09 10 16 26 42;6;9;10;16;26;42
04/03/2020;01 07 17 24 35 41;1;7;17;24;35;41
01/03/2020;01 06 07 13 26 39;1;6;7;13;26;39
28/02/2020;02 19 23 27 29 38;2;19;23;27;29;38
26/02/2020;02 10 12 20 24 39;2;10;12;20;24;39
23/02/2020;01 06 16 23 34 42;1;6;16;23;34;42
21/02/2020;13 15 22 28 29 41;13;15;22;28;29;41
19/02/2020;01 16 23 25 30 38;1;16;23;25;30;38
16/02/2020;01 04 14 36 37 41;1;4;14;36;37;41
14/02/2020;04 14 24 32 36 43;4;14;24;32;36;43
12/02/2020;05 13 16 20 24 35;5;13;16;20;24;35
09/02/2020;01 04 18 22 26 35;1;4;18;22;26;35
07/02/2020;06 11 15 33 40 44;6;11;15;33;40;44
05/02/2020;09 19 24 37 38 45;9;19;24;37;38;45
02/02/2020;01 04 16 32 35 38;1;4;16;32;35;38
31/01/2020;08 09 20 25 30 40;8;9;20;25;30;40
29/01/2020;03 10 16 24 39 44;3;10;16;24;39;44
26/01/2020;04 05 09 25 33 37;4;5;9;25;33;37
22/01/2020;01 15 16 34 36 42;1;15;16;34;36;42
19/01/2020;01 04 19 25 35 39;1;4;19;25;35;39
17/01/2020;08 26 28 37 40 42;8;26;28;37;40;42
15/01/2020;02 08 19 31 38 44;2;8;19;31;38;44
12/01/2020;07 12 17 21 35 45;7;12;17;21;35;45
10/01/2020;10 18 24 35 41 43;10;18;24;35;41;43
08/01/2020;02 04 10 21 25 43;2;4;10;21;25;43
05/01/2020;05 11 12 26 44 45;5;11;12;26;44;45
03/01/2020;01 15 17 26 32 44;1;15;17;26;32;44
01/01/2020;08 10 23 26 37 38;8;10;23;26;37;38
29/12/2019;07 12 21 24 35 43;7;12;21;24;35;43
27/12/2019;02 07 10 12 33 43;2;7;10;12;33;43
25/12/2019;10 18 25 26 36 43;10;18;25;26;36;43
22/12/2019;09 10 11 18 22 36;9;10;11;18;22;36
20/12/2019;01 09 16 27 38 45;1;9;16;27;38;45
18/12/2019;08 09 12 19 22 25;8;9;12;19;22;25
15/12/2019;03 13 15 16 22 36;3;13;15;16;22;36
13/12/2019;02 08 09 25 26 40;2;8;9;25;26;40
11/12/2019;01 02 08 27 29 39;1;2;8;27;29;39
08/12/2019;12 20 30 31 34 44;12;20;30;31;34;44
06/12/2019;02 20 26 35 43 45;2;20;26;35;43;45
04/12/2019;16 19 24 30 32 35;16;19;24;30;32;35
01/12/2019;03 14 16 27 31 35;3;14;16;27;31;35
29/11/2019;14 15 16 17 19 34;14;15;16;17;19;34
27/11/2019;03 05 13 19 20 33;3;5;13;19;20;33
24/11/2019;05 21 24 28 29 34;5;21;24;28;29;34
22/11/2019;01 09 10 19 30 38;1;9;10;19;30;38
20/11/2019;10 21 22 24 43 44;10;21;22;24;43;44
17/11/2019;06 07 14 31 39 44;6;7;14;31;39;44
15/11/2019;02 13 27 33 40 41;2;13;27;33;40;41
13/11/2019;17 19 24 30 31 40;17;19;24;30;31;40
10/11/2019;04 14 21 28 32 36;4;14;21;28;32;36
08/11/2019;04 16 19 30 32 44;4;16;19;30;32;44
06/11/2019;03 15 22 23 38 43;3;15;22;23;38;43
03/11/2019;28 30 32 38 44 45;28;30;32;38;44;45
01/11/2019;06 11 20 30 37 40;6;11;20;30;37;40
30/10/2019;02 05 08 12 29 38;2;5;8;12;29;38
27/10/2019;01 19 29 30 40 42;1;19;29;30;40;42
25/10/2019;04 07 09 22 32 37;4;7;9;22;32;37
23/10/2019;02 09 21 23 32 41;2;9;21;23;32;41
20/10/2019;01 03 08 15 38 40;1;3;8;15;38;40
18/10/2019;04 14 15 22 28 39;4;14;15;22;28;39
16/10/2019;01 04 23 28 41 42;1;4;23;28;41;42
13/10/2019;06 22 28 31 37 40;6;22;28;31;37;40
11/10/2019;06 12 14 27 28 36;6;12;14;27;28;36
09/10/2019;03 12 21 24 28 32;3;12;21;24;28;32
06/10/2019;01 06 17 30 44 45;1;6;17;30;44;45
04/10/2019;02 09 24 25 30 36;2;9;24;25;30;36
02/10/2019;02 06 07 25 28 41;2;6;7;25;28;41
29/09/2019;02 09 12 18 21 23;2;9;12;18;21;23
27/09/2019;06 09 11 28 37 44;6;9;11;28;37;44
25/09/2019;09 14 22 26 44 45;9;14;22;26;44;45
22/09/2019;03 06 21 36 38 39;3;6;21;36;38;39
20/09/2019;07 12 24 29 31 45;7;12;24;29;31;45
18/09/2019;03 09 13 17 19 20;3;9;13;17;19;20
15/09/2019;08 09 28 33 35 43;8;9;28;33;35;43
13/09/2019;02 15 17 25 30 38;2;15;17;25;30;38
11/09/2019;21 25 29 32 34 35;21;25;29;32;34;35
08/09/2019;06 09 11 26 28 36;6;9;11;26;28;36
06/09/2019;02 04 13 15 26 31;2;4;13;15;26;31
04/09/2019;01 09 11 23 30 37;1;9;11;23;30;37
01/09/2019;05 07 14 16 29 40;5;7;14;16;29;40
30/08/2019;05 06 22 23 25 44;5;6;22;23;25;44
28/08/2019;01 04 12 14 19 30;1;4;12;14;19;30
25/08/2019;07 08 15 20 24 31;7;8;15;20;24;31
23/08/2019;06 07 12 17 19 24;6;7;12;17;19;24
21/08/2019;06 08 17 20 21 31;6;8;17;20;21;31
18/08/2019;02 07 18 21 24 33;2;7;18;21;24;33
16/08/2019;06 14 15 19 31 39;6;14;15;19;31;39
14/08/2019;13 20 22 24 33 34;13;20;22;24;33;34
11/08/2019;01 04 07 09 25 31;1;4;7;9;25;31
09/08/2019;11 19 26 28 30 42;11;19;26;28;30;42
07/08/2019;01 05 13 31 32 43;1;5;13;31;32;43
04/08/2019;06 10 21 30 43 45;6;10;21;30;43;45
02/08/2019;11 18 20 22 25 26;11;18;20;22;25;26
31/07/2019;06 12 15 19 25 45;6;12;15;19;25;45
28/07/2019;05 14 16 24 42 43;5;14;16;24;42;43
26/07/2019;05 14 16 22 25 33;5;14;16;22;25;33
24/07/2019;20 22 25 39 44 45;20;22;25;39;44;45
21/07/2019;07 08 10 24 33 44;7;8;10;24;33;44
19/07/2019;09 12 23 26 28 43;9;12;23;26;28;43
17/07/2019;10 11 16 22 28 35;10;11;16;22;28;35
14/07/2019;02 03 07 25 33 34;2;3;7;25;33;34
12/07/2019;16 18 24 26 40 44;16;18;24;26;40;44
10/07/2019;01 02 06 07 16 27;1;2;6;7;16;27
07/07/2019;02 18 21 23 30 31;2;18;21;23;30;31
05/07/2019;19 21 30 31 37 43;19;21;30;31;37;43
03/07/2019;02 07 25 29 39 45;2;7;25;29;39;45
30/06/2019;05 20 22 25 28 32;5;20;22;25;28;32
28/06/2019;11 25 37 40 41 45;11;25;37;40;41;45
26/06/2019;01 05 09 10 33 41;1;5;9;10;33;41
23/06/2019;03 08 11 27 32 36;3;8;11;27;32;36
21/06/2019;01 04 19 21 23 39;1;4;19;21;23;39
19/06/2019;02 04 11 15 35 40;2;4;11;15;35;40
16/06/2019;06 07 19 29 31 36;6;7;19;29;31;36
14/06/2019;02 12 16 36 37 45;2;12;16;36;37;45
12/06/2019;10 11 21 23 26 37;10;11;21;23;26;37
09/06/2019;02 06 22 25 35 36;2;6;22;25;35;36
07/06/2019;11 13 15 26 27 41;11;13;15;26;27;41
05/06/2019;04 08 22 25 37 39;4;8;22;25;37;39
02/06/2019;02 05 12 35 41 43;2;5;12;35;41;43
31/05/2019;05 06 07 12 23 30;5;6;7;12;23;30
29/05/2019;12 18 19 27 35 42;12;18;19;27;35;42
26/05/2019;11 12 14 23 29 32;11;12;14;23;29;32
24/05/2019;02 03 31 33 35 40;2;3;31;33;35;40
22/05/2019;01 13 16 22 23 35;1;13;16;22;23;35
19/05/2019;02 11 19 27 30 42;2;11;19;27;30;42
17/05/2019;06 16 18 29 39 43;6;16;18;29;39;43
15/05/2019;17 28 29 33 34 35;17;28;29;33;34;35
12/05/2019;01 08 13 17 21 43;1;8;13;17;21;43
10/05/2019;05 23 25 30 35 38;5;23;25;30;35;38
08/05/2019;01 07 08 31 34 45;1;7;8;31;34;45
05/05/2019;13 27 30 38 39 41;13;27;30;38;39;41
03/05/2019;01 06 14 31 35 44;1;6;14;31;35;44
01/05/2019;18 23 24 27 33 41;18;23;24;27;33;41
28/04/2019;04 24 28 30 33 43;4;24;28;30;33;43
26/04/2019;01 02 14 15 16 30;1;2;14;15;16;30
24/04/2019;04 07 12 13 20 45;4;7;12;13;20;45
21/04/2019;08 11 13 20 41 43;8;11;13;20;41;43
19/04/2019;01 04 05 12 17 21;1;4;5;12;17;21
17/04/2019;07 11 21 25 30 44;7;11;21;25;30;44
14/04/2019;04 13 20 34 35 37;4;13;20;34;35;37
12/04/2019;03 12 15 16 17 44;3;12;15;16;17;44
10/04/2019;07 11 14 30 35 42;7;11;14;30;35;42
07/04/2019;08 10 26 28 32 34;8;10;26;28;32;34
05/04/2019;02 07 25 36 38 43;2;7;25;36;38;43
03/04/2019;04 11 18 33 34 45;4;11;18;33;34;45
31/03/2019;03 05 19 28 31 38;3;5;19;28;31;38
29/03/2019;02 19 26 27 30 37;2;19;26;27;30;37
27/03/2019;09 12 22 24 30 42;9;12;22;24;30;42
24/03/2019;05 17 21 27 34 40;5;17;21;27;34;40
22/03/2019;01 03 06 13 18 41;1;3;6;13;18;41
20/03/2019;02 07 17 24 29 37;2;7;17;24;29;37
17/03/2019;05 06 16 18 24 42;5;6;16;18;24;42
15/03/2019;05 10 15 19 38 42;5;10;15;19;38;42
13/03/2019;05 16 24 26 34 44;5;16;24;26;34;44
10/03/2019;05 24 31 32 42 45;5;24;31;32;42;45
08/03/2019;04 14 20 27 32 43;4;14;20;27;32;43
06/03/2019;02 07 14 24 40 41;2;7;14;24;40;41
03/03/2019;01 13 17 20 30 45;1;13;17;20;30;45
01/03/2019;15 23 29 31 38 43;15;23;29;31;38;43
27/02/2019;05 12 15 16 25 35;5;12;15;16;25;35
24/02/2019;01 07 13 23 32 42;1;7;13;23;32;42
22/02/2019;07 10 18 25 44 45;7;10;18;25;44;45
20/02/2019;01 10 15 24 37 45;1;10;15;24;37;45
17/02/2019;11 12 14 25 29 31;11;12;14;25;29;31
15/02/2019;03 22 26 27 30 44;3;22;26;27;30;44
13/02/2019;05 11 18 33 37 41;5;11;18;33;37;41
10/02/2019;01 11 17 25 29 35;1;11;17;25;29;35
08/02/2019;11 12 33 36 39 43;11;12;33;36;39;43
06/02/2019;22 24 25 30 33 38;22;24;25;30;33;38
03/02/2019;01 02 05 09 23 24;1;2;5;9;23;24
01/02/2019;03 04 06 38 39 43;3;4;6;38;39;43
30/01/2019;01 04 06 13 37 41;1;4;6;13;37;41
27/01/2019;09 11 12 22 27 29;9;11;12;22;27;29
25/01/2019;11 13 14 22 30 38;11;13;14;22;30;38
23/01/2019;02 09 13 29 33 40;2;9;13;29;33;40
20/01/2019;08 16 21 31 35 38;8;16;21;31;35;38
18/01/2019;12 15 19 38 40 45;12;15;19;38;40;45
16/01/2019;01 08 14 24 31 40;1;8;14;24;31;40
13/01/2019;01 20 21 23 26 33;1;20;21;23;26;33
11/01/2019;19 21 22 23 25 44;19;21;22;23;25;44
09/01/2019;17 27 28 30 33 41;17;27;28;30;33;41
06/01/2019;09 22 33 34 35 44;9;22;33;34;35;44
04/01/2019;01 08 14 16 19 22;1;8;14;16;19;22
02/01/2019;04 14 32 35 36 40;4;14;32;35;36;40
30/12/2018;10 19 31 35 42 44;10;19;31;35;42;44
28/12/2018;03 22 24 25 31 37;3;22;24;25;31;37
26/12/2018;21 28 34 35 41 44;21;28;34;35;41;44
23/12/2018;01 03 10 11 16 44;1;3;10;11;16;44
21/12/2018;01 07 16 27 29 34;1;7;16;27;29;34
19/12/2018;02 10 11 32 40 44;2;10;11;32;40;44
16/12/2018;01 14 22 26 35 42;1;14;22;26;35;42
14/12/2018;07 16 20 26 30 34;7;16;20;26;30;34
12/12/2018;01 03 11 15 27 30;1;3;11;15;27;30
09/12/2018;06 08 26 34 40 41;6;8;26;34;40;41
07/12/2018;01 06 07 22 31 39;1;6;7;22;31;39
05/12/2018;07 28 29 39 42 45;7;28;29;39;42;45
02/12/2018;02 04 12 23 37 45;2;4;12;23;37;45
30/11/2018;11 18 23 25 28 35;11;18;23;25;28;35
28/11/2018;08 13 20 21 25 28;8;13;20;21;25;28
25/11/2018;03 05 11 18 24 29;3;5;11;18;24;29
23/11/2018;08 10 12 21 25 40;8;10;12;21;25;40
21/11/2018;07 09 16 19 24 33;7;9;16;19;24;33
18/11/2018;06 27 28 30 37 44;6;27;28;30;37;44
16/11/2018;04 12 18 21 25 41;4;12;18;21;25;41
14/11/2018;12 14 24 26 30 40;12;14;24;26;30;40
11/11/2018;20 23 26 27 32 34;20;23;26;27;32;34
09/11/2018;06 18 28 32 34 35;6;18;28;32;34;35
07/11/2018;06 18 22 25 31 37;6;18;22;25;31;37
04/11/2018;07 12 13 17 25 30;7;12;13;17;25;30
02/11/2018;04 06 11 18 24 25;4;6;11;18;24;25
31/10/2018;17 22 26 30 33 35;17;22;26;30;33;35
28/10/2018;09 18 19 20 31 45;9;18;19;20;31;45
26/10/2018;02 18 31 33 36 41;2;18;31;33;36;41
24/10/2018;06 26 34 35 39 42;6;26;34;35;39;42
21/10/2018;06 22 24 28 30 37;6;22;24;28;30;37
19/10/2018;02 14 30 38 39 45;2;14;30;38;39;45
17/10/2018;01 12 14 36 39 43;1;12;14;36;39;43
14/10/2018;07 08 09 34 40 43;7;8;9;34;40;43
12/10/2018;11 12 20 26 28 42;11;12;20;26;28;42
10/10/2018;18 19 22 28 41 42;18;19;22;28;41;42
07/10/2018;14 18 31 34 39 44;14;18;31;34;39;44
05/10/2018;04 12 17 29 35 44;4;12;17;29;35;44
03/10/2018;06 12 19 21 25 45;6;12;19;21;25;45
30/09/2018;01 20 24 36 43 45;1;20;24;36;43;45
28/09/2018;02 06 11 13 15 38;2;6;11;13;15;38
26/09/2018;12 19 27 39 42 45;12;19;27;39;42;45
23/09/2018;18 27 32 35 41 44;18;27;32;35;41;44
21/09/2018;01 03 11 14 23 29;1;3;11;14;23;29
19/09/2018;10 20 22 24 27 42;10;20;22;24;27;42
16/09/2018;03 13 17 18 23 34;3;13;17;18;23;34
14/09/2018;12 16 17 18 26 34;12;16;17;18;26;34
12/09/2018;11 12 13 16 29 31;11;12;13;16;29;31
09/09/2018;08 14 18 21 44 45;8;14;18;21;44;45
07/09/2018;08 10 11 28 42 45;8;10;11;28;42;45
05/09/2018;05 06 22 27 34 37;5;6;22;27;34;37
02/09/2018;10 12 13 22 26 40;10;12;13;22;26;40
31/08/2018;11 19 30 36 38 40;11;19;30;36;38;40
29/08/2018;16 17 24 28 30 36;16;17;24;28;30;36
26/08/2018;01 03 11 12 22 36;1;3;11;12;22;36
24/08/2018;03 22 25 29 33 40;3;22;25;29;33;40
22/08/2018;15 17 18 33 34 44;15;17;18;33;34;44
19/08/2018;16 18 28 36 37 45;16;18;28;36;37;45
17/08/2018;03 08 22 28 33 42;3;8;22;28;33;42
15/08/2018;12 24 25 33 40 44;12;24;25;33;40;44
12/08/2018;05 16 17 28 31 38;5;16;17;28;31;38
10/08/2018;18 22 24 29 41 45;18;22;24;29;41;45
08/08/2018;19 34 37 39 41 44;19;34;37;39;41;44
05/08/2018;07 10 18 31 39 43;7;10;18;31;39;43
03/08/2018;03 08 10 24 27 28;3;8;10;24;27;28
01/08/2018;05 06 29 30 37 38;5;6;29;30;37;38
29/07/2018;26 31 32 37 43 45;26;31;32;37;43;45
27/07/2018;02 21 32 37 38 42;2;21;32;37;38;42
25/07/2018;09 16 18 38 41 45;9;16;18;38;41;45
22/07/2018;08 09 24 27 40 45;8;9;24;27;40;45
20/07/2018;13 14 16 19 20 23;13;14;16;19;20;23
18/07/2018;08 10 14 19 26 34;8;10;14;19;26;34
15/07/2018;07 15 20 29 31 38;7;15;20;29;31;38
13/07/2018;03 08 09 25 27 28;3;8;9;25;27;28
11/07/2018;12 26 28 29 39 43;12;26;28;29;39;43
08/07/2018;02 07 08 10 28 44;2;7;8;10;28;44
06/07/2018;22 26 33 34 38 42;22;26;33;34;38;42
04/07/2018;02 03 27 28 34 43;2;3;27;28;34;43
01/07/2018;04 07 15 28 34 37;4;7;15;28;34;37
29/06/2018;06 18 22 24 36 39;6;18;22;24;36;39
27/06/2018;25 27 29 33 37 38;25;27;29;33;37;38
24/06/2018;06 08 23 32 33 41;6;8;23;32;33;41
22/06/2018;15 19 20 26 34 39;15;19;20;26;34;39
20/06/2018;02 18 22 30 32 43;2;18;22;30;32;43
17/06/2018;03 05 06 07 34 40;3;5;6;7;34;40
15/06/2018;08 11 13 23 24 28;8;11;13;23;24;28
13/06/2018;02 04 17 24 31 40;2;4;17;24;31;40
10/06/2018;22 25 35 36 38 39;22;25;35;36;38;39
08/06/2018;04 13 32 35 40 42;4;13;32;35;40;42
06/06/2018;06 20 22 26 43 44;6;20;22;26;43;44
03/06/2018;18 20 24 40 42 45;18;20;24;40;42;45
01/06/2018;06 14 19 38 43 44;6;14;19;38;43;44
30/05/2018;02 17 19 27 31 36;2;17;19;27;31;36
27/05/2018;05 09 17 18 19 22;5;9;17;18;19;22
25/05/2018;05 14 22 26 29 39;5;14;22;26;29;39
23/05/2018;13 16 25 34 37 41;13;16;25;34;37;41
20/05/2018;18 19 25 26 29 39;18;19;25;26;29;39
18/05/2018;03 18 24 29 30 35;3;18;24;29;30;35
16/05/2018;10 21 23 25 35 38;10;21;23;25;35;38
13/05/2018;06 11 16 18 27 41;6;11;16;18;27;41
11/05/2018;10 11 26 29 33 38;10;11;26;29;33;38
09/05/2018;09 15 20 30 31 33;9;15;20;30;31;33
06/05/2018;11 26 28 34 36 37;11;26;28;34;36;37
04/05/2018;09 18 25 26 27 29;9;18;25;26;27;29
02/05/2018;10 11 22 29 37 40;10;11;22;29;37;40
29/04/2018;03 10 22 23 25 43;3;10;22;23;25;43
27/04/2018;10 20 24 27 28 29;10;20;24;27;28;29
25/04/2018;04 15 17 23 29 43;4;15;17;23;29;43
22/04/2018;06 07 22 32 36 39;6;7;22;32;36;39
20/04/2018;06 09 14 30 33 42;6;9;14;30;33;42
18/04/2018;06 16 28 29 39 44;6;16;28;29;39;44
15/04/2018;03 09 13 20 30 34;3;9;13;20;30;34
13/04/2018;11 22 24 33 38 43;11;22;24;33;38;43
11/04/2018;07 20 23 25 26 39;7;20;23;25;26;39
08/04/2018;02 05 11 16 30 34;2;5;11;16;30;34
06/04/2018;01 07 08 09 36 40;1;7;8;9;36;40
04/04/2018;02 03 06 16 41 44;2;3;6;16;41;44
01/04/2018;04 12 24 33 39 43;4;12;24;33;39;43
30/03/2018;07 11 18 28 34 43;7;11;18;28;34;43
28/03/2018;12 18 31 34 35 42;12;18;31;34;35;42
25/03/2018;04 10 13 22 38 42;4;10;13;22;38;42
23/03/2018;03 06 12 22 26 35;3;6;12;22;26;35
21/03/2018;06 19 38 40 41 44;6;19;38;40;41;44
18/03/2018;14 21 24 28 31 40;14;21;24;28;31;40
16/03/2018;06 08 13 17 20 34;6;8;13;17;20;34
14/03/2018;12 21 23 27 31 34;12;21;23;27;31;34
11/03/2018;01 14 19 26 41 42;1;14;19;26;41;42
09/03/2018;05 10 13 19 25 44;5;10;13;19;25;44
07/03/2018;08 19 25 31 37 40;8;19;25;31;37;40
04/03/2018;04 11 19 25 32 40;4;11;19;25;32;40
02/03/2018;03 07 15 27 41 45;3;7;15;27;41;45
28/02/2018;17 19 21 23 36 40;17;19;21;23;36;40
25/02/2018;08 10 12 29 30 42;8;10;12;29;30;42
23/02/2018;05 16 19 23 29 37;5;16;19;23;29;37
21/02/2018;18 23 24 26 29 33;18;23;24;26;29;33
18/02/2018;01 05 14 16 36 38;1;5;14;16;36;38
14/02/2018;12 31 32 34 35 43;12;31;32;34;35;43
11/02/2018;05 19 27 32 41 45;5;19;27;32;41;45
09/02/2018;02 10 14 19 23 37;2;10;14;19;23;37
