NGAY;BO_SO;SO1;SO2;SO3;SO4;SO5;SO6
30/04/2023;07 09 23 24 33 36;7;9;23;24;33;36
28/04/2023;05 11 25 33 42 44;5;11;25;33;42;44
26/04/2023;01 04 07 09 34 37;1;4;7;9;34;37
23/04/2023;01 02 22 30 37 42;1;2;22;30;37;42
21/04/2023;02 04 07 10 20 44;2;4;7;10;20;44
19/04/2023;10 27 37 40 42 43;10;27;37;40;42;43
16/04/2023;08 17 20 25 33 36;8;17;20;25;33;36
14/04/2023;08 16 23 27 32 41;8;16;23;27;32;41
12/04/2023;04 07 27 28 32 43;4;7;27;28;32;43
09/04/2023;12 15 25 30 34 39;12;15;25;30;34;39
07/04/2023;09 14 22 29 39 41;9;14;22;29;39;41
05/04/2023;04 08 12 15 19 43;4;8;12;15;19;43
02/04/2023;02 24 36 38 42 43;2;24;36;38;42;43
31/03/2023;01 09 10 15 30 42;1;9;10;15;30;42
29/03/2023;03 06 12 28 29 43;3;6;12;28;29;43
26/03/2023;06 16 18 25 34 45;6;16;18;25;34;45
24/03/2023;06 14 15 18 24 41;6;14;15;18;24;41
22/03/2023;05 08 10 15 17 41;5;8;10;15;17;41
19/03/2023;02 07 10 21 28 35;2;7;10;21;28;35
17/03/2023;05 07 12 22 26 33;5;7;12;22;26;33
15/03/2023;11 19 23 28 34 35;11;19;23;28;34;35
12/03/2023;10 28 29 31 33 37;10;28;29;31;33;37
10/03/2023;03 05 13 22 36 44;3;5;13;22;36;44
08/03/2023;10 13 22 25 28 36;10;13;22;25;28;36
05/03/2023;09 11 24 31 36 44;9;11;24;31;36;44
03/03/2023;10 22 26 27 33 43;10;22;26;27;33;43
01/03/2023;13 14 29 33 38 43;13;14;29;33;38;43
26/02/2023;04 09 16 26 28 42;4;9;16;26;28;42
24/02/2023;01 10 16 22 35 44;1;10;16;22;35;44
22/02/2023;08 16 22 23 28 38;8;16;22;23;28;38
19/02/2023;02 20 22 28 29 38;2;20;22;28;29;38
17/02/2023;01 05 10 13 23 25;1;5;10;13;23;25
15/02/2023;01 02 08 20 24 31;1;2;8;20;24;31
12/02/2023;03 05 11 23 24 42;3;5;11;23;24;42
10/02/2023;01 11 23 27 33 39;1;11;23;27;33;39
08/02/2023;06 18 20 22 26 34;6;18;20;22;26;34
05/02/2023;13 15 23 29 31 34;13;15;23;29;31;34
03/02/2023;04 11 16 30 33 43;4;11;16;30;33;43
01/02/2023;16 21 27 29 34 44;16;21;27;29;34;44
29/01/2023;05 21 26 27 32 33;5;21;26;27;32;33
27/01/2023;10 13 21 29 41 43;10;13;21;29;41;43
25/01/2023;12 14 18 22 28 31;12;14;18;22;28;31
20/01/2023;03 07 13 29 32 44;3;7;13;29;32;44
15/01/2023;08 09 15 21 26 45;8;9;15;21;26;45
13/01/2023;03 11 14 20 26 42;3;11;14;20;26;42
11/01/2023;01 18 22 33 34 43;1;18;22;33;34;43
08/01/2023;11 29 32 39 40 43;11;29;32;39;40;43
06/01/2023;02 07 16 25 35 38;2;7;16;25;35;38
04/01/2023;03 05 07 37 39 42;3;5;7;37;39;42
01/01/2023;16 20 26 30 32 40;16;20;26;30;32;40
30/12/2022;03 24 31 35 39 42;3;24;31;35;39;42
28/12/2022;04 05 10 21 33 37;4;5;10;21;33;37
25/12/2022;15 17 21 28 37 43;15;17;21;28;37;43
23/12/2022;02 14 21 22 35 43;2;14;21;22;35;43
21/12/2022;08 12 20 26 35 37;8;12;20;26;35;37
18/12/2022;02 12 13 33 36 42;2;12;13;33;36;42
16/12/2022;06 19 22 26 38 39;6;19;22;26;38;39
14/12/2022;13 29 35 37 38 41;13;29;35;37;38;41
11/12/2022;09 11 16 17 22 33;9;11;16;17;22;33
09/12/2022;04 23 25 30 40 41;4;23;25;30;40;41
07/12/2022;08 11 19 24 26 42;8;11;19;24;26;42
04/12/2022;04 05 07 09 27 39;4;5;7;9;27;39
02/12/2022;02 18 21 24 38 44;2;18;21;24;38;44
30/11/2022;07 15 20 25 32 37;7;15;20;25;32;37
27/11/2022;01 26 27 35 36 43;1;26;27;35;36;43
25/11/2022;14 20 24 30 35 41;14;20;24;30;35;41
23/11/2022;04 13 15 20 37 38;4;13;15;20;37;38
20/11/2022;01 04 14 22 24 40;1;4;14;22;24;40
18/11/2022;15 16 22 25 29 33;15;16;22;25;29;33
16/11/2022;02 03 12 32 35 44;2;3;12;32;35;44
13/11/2022;03 04 27 32 40 43;3;4;27;32;40;43
11/11/2022;02 03 09 15 17 43;2;3;9;15;17;43
09/11/2022;07 09 16 20 30 32;7;9;16;20;30;32
